Filtro,N match,% kept,Accuracy,Lift vs base,Accuracy %,Lift %
BASE (nessuno),12320,100.0,0.7388798701298701,0.0,73.89,0.0
A: |p-0.5| >= 5%,10892,88.4,0.7661586485493941,0.027278778419523975,76.62,2.73
A: |p-0.5| >= 10%,10586,85.9,0.7713961836387682,0.032516313508898054,77.14,3.25
A: |p-0.5| >= 15%,9036,73.3,0.7959274015050908,0.05704753137522067,79.59,5.7
A: |p-0.5| >= 20%,7108,57.7,0.8277996623522791,0.08891979222240898,82.78,8.89
A: |p-0.5| >= 25%,5908,48.0,0.8464793500338524,0.10759947990398233,84.65,10.76
A: |p-0.5| >= 30%,4670,37.9,0.8623126338329764,0.1234327637031063,86.23,12.34
B: |p|>=10% & upset<=0.25,7115,57.8,0.7835558678847505,0.0446759977548804,78.36,4.47
B: |p|>=15% & upset<=0.25,6077,49.3,0.8092808951785421,0.07040102504867196,80.93,7.04
B: |p|>=20% & upset<=0.25,4835,39.2,0.8419855222337125,0.10310565210384237,84.2,10.31
B: |p|>=10% & upset<=0.15,4751,38.6,0.7874131761734372,0.04853330604356709,78.74,4.85
B: |p|>=15% & upset<=0.15,4064,33.0,0.812992125984252,0.07411225585438186,81.3,7.41
C: meta_score >= 30,11659,94.6,0.7510078051290848,0.012127934999214718,75.1,1.21
C: meta_score >= 40,10804,87.7,0.7647167715660866,0.02583690143621653,76.47,2.58
C: meta_score >= 50,9374,76.1,0.7889908256880734,0.05011095555820333,78.9,5.01
C: meta_score >= 55,7881,64.0,0.8149980966882375,0.07611822655836742,81.5,7.61
C: meta_score >= 60,7119,57.8,0.8279252704031466,0.08904540027327645,82.79,8.9
C: meta_score >= 65,5786,47.0,0.8482544071897684,0.1093745370598983,84.83,10.94
C: meta_score >= 70,5146,41.8,0.8583365720948309,0.11945670196496083,85.83,11.95
C: meta_score >= 75,4303,34.9,0.8689286544271438,0.13004878429727373,86.89,13.0
C: meta_score >= 80,3461,28.1,0.8650678994510257,0.12618802932115558,86.51,12.62
