player,aces_avg,df_avg,serve_win_pct,bp_saved_pct,service_hold_pct
Carlos Alcaraz,1512.0,811.0,72.0,64.0,85.0
Jannik Sinner,2400.0,794.0,75.0,67.0,86.0
Novak Djokovic,7793.0,3117.0,74.0,66.0,86.0
Alexander Zverev,6117.0,2552.0,75.0,62.0,84.0
Lorenzo Musetti,1167.0,628.0,70.0,59.0,80.0
Alex De Minaur,1811.0,1179.0,71.0,62.0,81.0
Felix Auger Aliassime,4046.0,1684.0,76.0,64.0,84.0
Taylor Fritz,5517.0,1262.0,77.0,64.0,85.0
Ben Shelton,1985.0,706.0,76.0,69.0,87.0
Alexander Bublik,4290.0,2278.0,77.0,63.0,81.0
Daniil Medvedev,4789.0,2266.0,75.0,63.0,83.0
Jack Draper,1324.0,474.0,77.0,65.0,85.0
Casper Ruud,2288.0,974.0,72.0,64.0,84.0
Andrey Rublev,4050.0,1483.0,75.0,63.0,83.0
Alejandro Davidovich Fokina,993.0,758.0,67.0,60.0,76.0
Jakub Mensik,1265.0,427.0,77.0,64.0,83.0
Karen Khachanov,4105.0,1328.0,74.0,63.0,82.0
Holger Rune,1442.0,889.0,72.0,63.0,83.0
Francisco Cerundolo,786.0,758.0,68.0,62.0,76.0
Flavio Cobolli,707.0,458.0,70.0,62.0,78.0
Luciano Darderi,713.0,321.0,72.0,60.0,79.0
Jiri Lehecka,1277.0,446.0,73.0,63.0,82.0
Learner Tien,364.0,304.0,69.0,63.0,78.0
Tommy Paul,1784.0,752.0,71.0,62.0,80.0
Tallon Griekspoor,1843.0,733.0,74.0,65.0,83.0
Valentin Vacherot,186.0,67.0,72.0,64.0,82.0
Cameron Norrie,2042.0,1114.0,71.0,63.0,80.0
Frances Tiafoe,3367.0,1111.0,73.0,62.0,81.0
Brandon Nakashima,1891.0,354.0,75.0,64.0,85.0
Arthur Rinderknech,2060.0,563.0,76.0,65.0,84.0
Tomas Machac,736.0,355.0,70.0,62.0,80.0
Sebastian Baez,409.0,391.0,64.0,59.0,73.0
Stefanos Tsitsipas,3886.0,1296.0,76.0,65.0,86.0
Corentin Moutet,565.0,607.0,66.0,59.0,73.0
Denis Shapovalov,3393.0,2334.0,76.0,65.0,83.0
Ugo Humbert,2216.0,827.0,74.0,64.0,83.0
Jaume Munar,1087.0,879.0,69.0,58.0,75.0
Joao Fonseca,341.0,124.0,71.0,61.0,82.0
Gabriel Diallo,645.0,212.0,73.0,60.0,82.0
Arthur Fils,834.0,443.0,74.0,62.0,82.0
Alex Michelsen,696.0,346.0,70.0,60.0,79.0
Grigor Dimitrov,5391.0,2683.0,75.0,63.0,83.0
Marin Cilic,8437.0,2744.0,77.0,64.0,84.0
Zizou Bergs,712.0,401.0,72.0,62.0,79.0
Nuno Borges,829.0,377.0,71.0,61.0,79.0
Camilo Ugo Carabelli,183.0,176.0,65.0,58.0,69.0
Jenson Brooksby,346.0,200.0,68.0,59.0,76.0
Fabian Marozsan,600.0,286.0,70.0,59.0,79.0
Adrian Mannarino,3196.0,1677.0,70.0,60.0,77.0
Sebastian Korda,1791.0,567.0,73.0,63.0,82.0
Tomas Martin Etcheverry,1260.0,335.0,71.0,64.0,80.0
Alexandre Muller,467.0,275.0,67.0,59.0,73.0
Alexei Popyrin,2311.0,845.0,75.0,65.0,82.0
Daniel Altmaier,1147.0,450.0,70.0,61.0,77.0
Botic Van De Zandschulp,1282.0,859.0,72.0,61.0,77.0
Kamil Majchrzak,516.0,203.0,71.0,61.0,79.0
Matteo Berrettini,3109.0,585.0,78.0,69.0,88.0
Giovanni Mpetshi Perricard,1363.0,382.0,78.0,68.0,88.0
Raphael Collignon,151.0,135.0,73.0,60.0,78.0
Valentin Royer,213.0,62.0,72.0,66.0,82.0
Marton Fucsovics,1368.0,1088.0,70.0,60.0,77.0
Damir Dzumhur,661.0,783.0,65.0,56.0,71.0
Francisco Comesana,477.0,200.0,73.0,60.0,79.0
