trial,hidden_layers,dropout,lr,batch_size,epochs,lambda_decay,smoothing,interaction_set,val_acc,test_acc,log_loss
57,[256],0.2,0.0006445209775805241,2048,80,0.003,0.02,upset,0.6599084368868542,0.7245029901406175,0.5529268095102313
4,"[256, 256]",0.45000000000000007,0.0015385836272714033,512,60,0.003,0.04,context,0.6581643775888381,0.7226442540811379,0.5607385696227105
76,[128],0.1,0.0005448697847912545,2048,120,0.0001,0.01,serve_return,0.6600174405929802,0.7215936641344756,0.5531045057529466
53,[256],0.35,0.0007783113571685922,2048,80,0.003,0.02,upset,0.6624155221277523,0.7215128495231938,0.5517697183020865
47,[256],0.2,0.0017156612380747783,2048,80,0.001,0.02,upset,0.659145410943972,0.7211895910780669,0.5593367881766782
10,"[512, 256, 128]",0.2,0.0006475515989686908,2048,60,0.003,0.0,upset,0.6542402441683017,0.7159366413447551,0.5635802720016739
100,"[128, 64, 32]",0.25,0.0005126644639954846,2048,120,0.001,0.07,upset,0.6572923479398299,0.7150476806206563,0.566458252649429
20,"[256, 128, 64]",0.25,0.0004396803429814699,256,80,0.0001,0.01,upset,0.6550032701111838,0.7132697591724584,0.5776832529543895
56,"[128, 128]",0.15000000000000002,0.00041598181334927243,2048,80,0.001,0.01,upset,0.657619359058208,0.7114110231129789,0.5570117991086498
8,"[128, 128]",0.25,0.0018081400596781233,2048,60,0.0001,0.07,minimal,0.6592544146500982,0.7104412477775982,0.5742210490393913
43,[256],0.15000000000000002,0.0005845358588586694,2048,80,0.001,0.02,upset,0.6627425332461304,0.7005010505899467,0.5727820952327483
24,"[256, 256]",0.4,0.00047543750059856135,256,120,0.001,0.06,serve_return,0.6567473294091999,0.6998545336996929,0.579793985221607
58,"[256, 128, 64, 32]",0.25,0.0005510399225110742,2048,80,0.001,0.0,upset,0.6606714628297362,0.6986423145304671,0.5788370197823087
15,[256],0.1,0.0004446953293396487,1024,120,0.001,0.02,core,0.6606714628297362,0.6973492807499596,0.5996875334765316
75,[256],0.4,0.00034914705546995443,512,80,0.001,0.03,upset,0.6572923479398299,0.6973492807499596,0.5750754395147109
1,"[128, 64, 32]",0.15000000000000002,0.00018559980846490597,1024,80,0.003,0.06,minimal,0.657619359058208,0.6961370615807339,0.5659769391120004
12,"[512, 256]",0.35,0.001043232818022287,256,120,0.001,0.03,serve_return,0.657619359058208,0.6942783255212542,0.6310283328258273
85,"[512, 256]",0.15000000000000002,0.0006562800670173558,2048,80,0.003,0.02,upset,0.6556572923479398,0.694035881687409,0.5725678330595873
40,[256],0.2,0.000726525311131325,2048,80,0.001,0.01,upset,0.6620885110093743,0.6920963310166478,0.579480675517391
61,"[512, 256]",0.45000000000000007,0.0013084398139521967,2048,100,0.001,0.02,upset,0.6553302812295618,0.6913689995151123,0.5861810118554754
60,"[256, 128]",0.4,0.0010991700901850311,2048,60,0.001,0.01,upset,0.6597994331807281,0.6891870050105059,0.5819692468710902
11,[128],0.1,0.0001026002232525659,1024,80,0.001,0.02,upset,0.6605624591236102,0.6885404881202521,0.5919179468413379
42,[256],0.2,0.0003898492995371866,2048,80,0.001,0.01,upset,0.6559843034663179,0.6881364150638436,0.5767786044668579
14,"[256, 128, 64]",0.5,0.0003643943567015775,256,80,0.001,0.08,serve_return,0.657074340527578,0.6873282689510264,0.5771819523972881
97,[256],0.2,0.0005849184772207346,256,80,0.0001,0.06,upset,0.65783736647046,0.6870050105058995,0.5790817568204222
19,[128],0.4,0.0002745470391786372,1024,120,0.001,0.02,context,0.6587093961194681,0.6866009374494909,0.5932753532587965
96,[256],0.35,0.0007119872790006285,2048,80,0.001,0.05,upset,0.6611074776542403,0.6852270890577016,0.5800233431950761
73,[256],0.35,0.0006361362068650921,2048,80,0.003,0.04,upset,0.6615434924787443,0.6840956844997576,0.5778805320767598
74,[256],0.15000000000000002,0.0010071542494252805,256,120,0.001,0.02,serve_return,0.6572923479398299,0.6833683529982221,1.1160605260764522
39,[256],0.35,0.0007236397068299524,2048,120,0.001,0.03,upset,0.6623065184216264,0.6831259091643769,0.582611669722215
78,"[512, 256, 128, 64]",0.2,0.0004295933460594551,256,120,0.001,0.02,upset,0.6555482886418138,0.6824793922741231,0.6111750347884207
83,[256],0.4,0.0007974302250902288,2048,80,0.003,0.04,upset,0.6600174405929802,0.6805398416033619,0.5795620243008699
55,"[256, 128, 64]",0.35,0.0009472608213986206,2048,80,0.003,0.02,upset,0.6612164813603663,0.6802973977695167,0.604105911790416
94,[256],0.35,0.000677698448127008,2048,80,0.003,0.06,upset,0.6620885110093743,0.6798125101018264,0.5838969249772006
29,"[128, 64, 32]",0.5,0.00022314217047007682,256,120,0.001,0.03,minimal,0.6567473294091999,0.6795700662679812,0.5828587971610283
44,[256],0.15000000000000002,0.0005587515667554535,2048,80,0.001,0.02,upset,0.6619795073032483,0.6789235493777275,0.5838549294226657
