tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-6865,Traralgon CH,Hard,64,C,20220103,256,208013,,,Dane Sweeny,R,170.0,AUS,20.8,106393,,,Frederico Ferreira Silva,L,178.0,POR,26.7,6-4 6-4,3,R64,85.0,3.0,3.0,61.0,41.0,34.0,9.0,10.0,5.0,5.0,5.0,1.0,63.0,40.0,28.0,13.0,10.0,6.0,8.0,497.0,71.0,240.0,262.0
2022-6865,Traralgon CH,Hard,64,C,20220103,259,117361,,,Akira Santillan,R,180.0,AUS,24.6,104586,,,Lukas Rosol,R,193.0,CZE,36.4,7-5 6-4,3,R64,72.0,6.0,2.0,57.0,33.0,26.0,14.0,11.0,2.0,4.0,1.0,2.0,64.0,34.0,23.0,13.0,11.0,3.0,7.0,335.0,144.0,273.0,212.0
2022-6865,Traralgon CH,Hard,64,C,20220103,260,208004,,,Harold Mayot,R,180.0,FRA,19.9,208432,,LL,David Hough,R,180.0,AUS,24.1,6-1 6-2,3,R64,63.0,5.0,1.0,49.0,35.0,28.0,8.0,8.0,4.0,4.0,0.0,4.0,49.0,29.0,15.0,7.0,7.0,4.0,8.0,419.0,95.0,,
2022-6865,Traralgon CH,Hard,64,C,20220103,263,104424,,,Go Soeda,R,178.0,JPN,37.3,105208,,Q,Ernests Gulbis,R,190.0,LAT,33.3,3-6 6-3 7-5,3,R64,157.0,2.0,2.0,101.0,56.0,36.0,29.0,15.0,7.0,9.0,15.0,6.0,108.0,61.0,48.0,19.0,15.0,9.0,12.0,247.0,253.0,191.0,348.0
2022-6865,Traralgon CH,Hard,64,C,20220103,264,208502,,,Dominic Stricker,L,183.0,SUI,19.3,104690,,Q,Divij Sharan,L,183.0,IND,35.8,6-4 6-2,3,R64,51.0,13.0,1.0,50.0,29.0,28.0,10.0,9.0,1.0,1.0,4.0,4.0,47.0,30.0,18.0,9.0,9.0,0.0,3.0,246.0,253.0,,
2022-6865,Traralgon CH,Hard,64,C,20220103,267,126964,,,Vitaliy Sachko,R,188.0,UKR,24.4,200512,,LL,Patrick Fitzgerald,R,180.0,AUS,25.8,6-1 6-4,3,R64,73.0,3.0,1.0,57.0,36.0,25.0,12.0,8.0,1.0,2.0,1.0,3.0,49.0,34.0,14.0,8.0,9.0,2.0,7.0,244.0,254.0,,
2022-6865,Traralgon CH,Hard,64,C,20220103,268,126646,,,Tim Van Rijthoven,R,188.0,NED,24.6,104735,,,Tobias Kamke,R,180.0,GER,35.6,7-6(2) 6-2,3,R64,81.0,17.0,0.0,60.0,40.0,35.0,14.0,10.0,0.0,0.0,1.0,3.0,69.0,44.0,30.0,12.0,10.0,5.0,7.0,261.0,229.0,255.0,241.0
2022-6865,Traralgon CH,Hard,64,C,20220103,270,208103,2.0,,Jiri Lehecka,R,185.0,CZE,20.1,105590,,,Uladzimir Ignatik,R,183.0,BLR,31.4,7-5 6-7(4) 6-3,3,R32,158.0,10.0,2.0,101.0,63.0,48.0,27.0,16.0,3.0,3.0,10.0,1.0,130.0,76.0,51.0,30.0,17.0,13.0,16.0,141.0,484.0,413.0,99.0
2022-6865,Traralgon CH,Hard,64,C,20220103,271,109739,13.0,,Maximilian Marterer,L,188.0,GER,26.5,131905,,,Manuel Guinard,R,198.0,FRA,26.1,2-6 6-3 6-4,3,R32,129.0,4.0,1.0,89.0,64.0,45.0,13.0,14.0,5.0,8.0,5.0,4.0,100.0,58.0,42.0,17.0,13.0,13.0,16.0,229.0,279.0,243.0,255.0
2022-6865,Traralgon CH,Hard,64,C,20220103,272,106110,10.0,,Filip Horansky,R,175.0,SVK,28.9,125804,,Alt,Brandon Walkin,R,188.0,GBR,27.3,6-2 7-5,3,R32,81.0,2.0,0.0,65.0,43.0,33.0,15.0,10.0,4.0,4.0,2.0,3.0,69.0,48.0,33.0,6.0,10.0,3.0,6.0,195.0,346.0,933.0,15.0
