year,tournament,surface,ace_pct,speed
1991,Hilversum,Clay,5.9,1.62
1991,San Francisco,Carpet,6.8,1.5
1991,Basel,Hard,10.3,1.48
1991,Brussels,Carpet,10.6,1.44
1991,Tour Finals,Carpet,15.7,1.37
1991,Birmingham,Carpet,8.9,1.3
1991,Vienna,Carpet,7.0,1.28
1991,Sao Paulo,Hard,5.3,1.27
1991,Newport,Grass,13.4,1.25
1991,Tokyo Indoor,Carpet,10.8,1.24
1991,Wimbledon,Grass,9.2,1.23
1991,Copenhagen,Carpet,7.7,1.21
1991,Paris Masters,Carpet,9.7,1.2
1991,Tel Aviv,Hard,13.8,1.2
1991,Lyon,Carpet,8.1,1.18
1991,Guaruja,Hard,5.5,1.17
1991,Stockholm Masters,Carpet,9.9,1.17
1991,Manchester,Grass,8.1,1.16
1991,Singapore,Hard,4.7,1.15
1991,Athens,Clay,3.0,1.15
1991,Cincinnati Masters,Hard,9.5,1.15
1991,Queen's Club,Grass,6.5,1.14
1991,Stuttgart Indoor,Carpet,7.5,1.14
1991,Brisbane,Hard,5.0,1.13
1991,Berlin,Carpet,5.8,1.12
1991,Rotterdam,Carpet,8.4,1.11
1991,US Open,Hard,7.4,1.11
1991,Indian Wells Masters,Hard,6.9,1.11
1991,New Haven,Hard,7.5,1.1
1991,Adelaide,Hard,6.5,1.1
1991,Memphis,Hard,7.7,1.08
1991,Moscow,Carpet,7.3,1.08
1991,Guaruja,Hard,6.7,1.08
1991,Orlando,Hard,9.4,1.07
1991,Gstaad,Clay,7.7,1.06
1991,Kitzbuhel,Clay,5.3,1.06
1991,Tokyo Outdoor,Hard,6.9,1.04
1991,Philadelphia,Carpet,7.0,1.02
1991,Geneva,Clay,3.7,1.0
1991,Toulouse,Hard,8.3,1.0
1991,Brasilia,Carpet,5.7,1.0
1991,Auckland,Hard,5.7,1.0
1991,Washington,Hard,5.8,1.0
1991,Stuttgart Outdoor,Clay,5.8,0.99
1991,Sydney Outdoor,Hard,6.6,0.99
1991,Canada Masters,Hard,6.9,0.98
1991,Chicago,Carpet,6.4,0.98
1991,Los Angeles,Hard,8.4,0.98
