player,rank,points,url_perfil
C. Alcaraz,1,13590,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview
J. Sinner,2,12400,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview
A. Zverev,3,5205,https://www.atptour.com/en/players/alexander-zverev/z355/overview
N. Djokovic,4,4720,https://www.atptour.com/en/players/novak-djokovic/d643/overview
L. Musetti,5,4265,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/overview
A. de Minaur,6,4095,https://www.atptour.com/en/players/alex-de-minaur/dh58/overview
F. Auger-Aliassime,7,4000,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview
T. Fritz,8,3870,https://www.atptour.com/en/players/taylor-fritz/fb98/overview
B. Shelton,9,3860,https://www.atptour.com/en/players/ben-shelton/s0s1/overview
D. Medvedev,10,3610,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview
A. Bublik,11,3345,https://www.atptour.com/en/players/alexander-bublik/bk92/overview
C. Ruud,12,2625,https://www.atptour.com/en/players/casper-ruud/rh16/overview
F. Cobolli,13,2520,https://www.atptour.com/en/players/flavio-cobolli/c0e9/overview
J. Lehecka,14,2490,https://www.atptour.com/en/players/jiri-lehecka/l0bv/overview
K. Khachanov,15,2410,https://www.atptour.com/en/players/karen-khachanov/ke29/overview
A. Rublev,16,2400,https://www.atptour.com/en/players/andrey-rublev/re44/overview
A. Davidovich Fokina,17,2220,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview
F. Tiafoe,18,2070,https://www.atptour.com/en/players/frances-tiafoe/td51/overview
L. Darderi,19,2050,https://www.atptour.com/en/players/luciano-darderi/d0fj/overview
F. Cerundolo,20,2020,https://www.atptour.com/en/players/francisco-cerundolo/c0au/overview
T. Paul,21,1915,https://www.atptour.com/en/players/tommy-paul/pl56/overview
L. Tien,22,1845,https://www.atptour.com/en/players/learner-tien/t0ha/overview
V. Vacherot,23,1831,https://www.atptour.com/en/players/valentin-vacherot/va25/overview
C. Norrie,24,1753,https://www.atptour.com/en/players/cameron-norrie/n771/overview
J. Draper,25,1710,https://www.atptour.com/en/players/jack-draper/d0co/overview
J. Mensik,26,1700,https://www.atptour.com/en/players/jakub-mensik/m0ni/overview
A. Rinderknech,27,1651,https://www.atptour.com/en/players/arthur-rinderknech/rc91/overview
A. Fils,28,1640,https://www.atptour.com/en/players/arthur-fils/f0f1/overview
H. Rune,29,1630,https://www.atptour.com/en/players/holger-rune/r0dg/overview
T. Griekspoor,30,1585,https://www.atptour.com/en/players/tallon-griekspoor/gj37/overview
T. Etcheverry,31,1500,https://www.atptour.com/en/players/tomas-martin-etcheverry/ea24/overview
C. Moutet,32,1403,https://www.atptour.com/en/players/corentin-moutet/mw02/overview
